name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18107,3970,18107,47,2015-09-12 14:51:38+00:00,2026-08-17 14:27:22+00:00,CC0-1.0
ML-NLP,NLP-LOVE,Jupyter Notebook,17794,4629,17794,36,2019-07-05 12:49:53+00:00,2026-08-17 02:32:34+00:00,Unknown
brpc,apache,C++,17582,4130,17582,467,2017-09-04 09:28:47+00:00,2026-08-17 15:46:32+00:00,Apache-2.0
ML-YouTube-Courses,dair-ai,Unknown,17361,2120,17361,21,2021-06-25 09:39:16+00:00,2026-08-17 20:53:11+00:00,CC0-1.0
numpy-ml,ddbourgin,Python,16334,3745,16334,48,2019-04-06 22:29:49+00:00,2026-08-17 05:35:17+00:00,GPL-3.0
transformers.js,huggingface,JavaScript,16261,1180,16261,275,2023-02-13 13:51:45+00:00,2026-08-17 15:03:19+00:00,Apache-2.0
mml-book.github.io,mml-book,Jupyter Notebook,15881,2842,15881,197,2017-12-08 10:52:21+00:00,2026-08-17 17:04:57+00:00,Unknown
kubeflow,kubeflow,Unknown,15817,2689,15817,0,2017-11-30 18:44:19+00:00,2026-08-17 21:31:19+00:00,Apache-2.0
cheatsheets-ai,kailashahirwar,Unknown,15428,3372,15428,12,2017-05-24 12:06:56+00:00,2026-08-17 06:34:34+00:00,MIT
ggml,ggml-org,C++,15185,1782,15185,346,2022-09-18 17:07:19+00:00,2026-08-17 12:50:07+00:00,MIT
Qix,ty4z2008,Unknown,15184,4576,15184,0,2014-04-20 11:03:15+00:00,2026-08-17 07:06:14+00:00,NOASSERTION
imgaug,aleju,Python,14739,2452,14739,312,2015-07-10 20:31:33+00:00,2026-08-14 13:12:26+00:00,MIT
bullet3,bulletphysics,C++,14679,3088,14679,423,2011-04-12 18:45:08+00:00,2026-08-17 02:32:07+00:00,NOASSERTION
ChatterBot,gunthercox,Python,14509,4420,14509,73,2014-09-28 14:49:00+00:00,2026-08-16 13:45:21+00:00,BSD-3-Clause
dlib,davisking,C++,14434,3442,14434,38,2014-01-29 00:45:33+00:00,2026-08-17 02:11:33+00:00,BSL-1.0
nni,microsoft,Python,14363,1852,14363,415,2018-06-01 05:51:44+00:00,2026-08-16 01:22:07+00:00,MIT
mit-deep-learning-book-pdf,janishar,Java,14197,2909,14197,12,2017-04-07 10:46:50+00:00,2026-08-17 21:41:02+00:00,Unknown
ivy,unifyai,Python,14171,5465,14171,985,2021-01-19 08:37:25+00:00,2026-08-13 15:59:43+00:00,NOASSERTION
handson-ml3,ageron,Jupyter Notebook,13942,5246,13942,107,2022-02-19 09:43:22+00:00,2026-08-17 18:51:54+00:00,Apache-2.0
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13929,3092,13929,3,2020-04-17 04:29:23+00:00,2026-08-17 21:38:06+00:00,Unknown
tvm,apache,Python,13668,3956,13668,242,2016-10-12 22:20:28+00:00,2026-08-17 21:13:10+00:00,Apache-2.0
Ai-Learn,tangyudi,Unknown,13261,2675,13261,20,2020-01-28 01:55:06+00:00,2026-08-17 08:52:06+00:00,Unknown
deep-learning-drizzle,kmario23,HTML,12931,2987,12931,5,2018-11-26 01:17:36+00:00,2026-08-17 16:57:03+00:00,Unknown
machine-learning-interview,khangich,Unknown,12782,2043,12782,9,2020-08-11 06:26:32+00:00,2026-08-17 10:04:18+00:00,Unknown
python-machine-learning-book,rasbt,Jupyter Notebook,12641,4372,12641,13,2015-08-07 20:39:29+00:00,2026-08-17 16:24:50+00:00,MIT
predictionio,apache,Scala,12518,1899,12518,80,2013-01-25 19:42:32+00:00,2026-08-17 15:39:17+00:00,Apache-2.0
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,BSD-2-Clause
cleanlab,cleanlab,Python,11627,915,11627,119,2018-05-11 01:55:21+00:00,2026-08-17 12:56:15+00:00,Apache-2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11392,1866,11392,0,2015-02-22 23:48:16+00:00,2026-08-17 19:11:54+00:00,CC-BY-4.0
MLAlgorithms,rushter,Python,11165,1769,11165,10,2016-10-05 06:46:45+00:00,2026-08-17 01:39:13+00:00,MIT
turicreate,apple,C++,11161,1118,11161,522,2017-12-01 00:42:04+00:00,2026-08-17 15:35:44+00:00,BSD-3-Clause
amazon-sagemaker-examples,aws,Jupyter Notebook,10978,6960,10978,849,2017-10-23 05:55:22+00:00,2026-08-17 16:55:13+00:00,Apache-2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10940,1678,10940,7,2024-05-18 15:42:58+00:00,2026-08-17 07:10:24+00:00,Unknown
dolly,databrickslabs,Python,10805,1141,10805,6,2023-03-24 16:15:53+00:00,2026-08-16 09:28:29+00:00,Apache-2.0
doccano,doccano,Python,10740,1824,10740,396,2018-05-09 06:10:05+00:00,2026-08-16 17:55:49+00:00,MIT
mlcourse.ai,Yorko,Python,10687,5701,10687,4,2017-02-27 08:32:20+00:00,2026-08-17 08:51:59+00:00,NOASSERTION
machine-learning-systems-design,chiphuyen,HTML,10524,1630,10524,11,2019-11-24 23:16:28+00:00,2026-08-17 21:20:03+00:00,Unknown
Machine-Learning,Jack-Cherish,Python,10370,5065,10370,7,2017-03-25 07:32:37+00:00,2026-08-17 18:03:13+00:00,Unknown
machine-learning-notes,roboticcam,Jupyter Notebook,10330,1825,10330,28,2018-02-15 15:42:33+00:00,2026-08-17 03:40:29+00:00,Unknown
3D-Machine-Learning,timzhang642,Unknown,10194,1797,10194,21,2017-08-12 15:20:54+00:00,2026-08-17 12:16:16+00:00,Unknown
tpot,EpistasisLab,Jupyter Notebook,10052,1564,10052,312,2015-11-03 21:08:40+00:00,2026-08-17 01:46:06+00:00,LGPL-3.0
sktime,sktime,Python,9931,2296,9931,2405,2018-11-06 15:08:24+00:00,2026-08-17 21:03:05+00:00,BSD-3-Clause
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9485,3050,9485,47,2017-12-18 10:49:59+00:00,2026-08-17 20:28:35+00:00,Apache-2.0
cog,replicate,Go,9458,694,9458,68,2021-02-26 23:43:09+00:00,2026-08-17 06:25:51+00:00,Apache-2.0
golearn,sjwhitworth,Go,9438,1166,9438,89,2013-12-26 13:06:14+00:00,2026-08-17 03:32:58+00:00,MIT
machinelearning,dotnet,C#,9347,1951,9347,1008,2018-05-03 16:20:42+00:00,2026-08-16 18:53:12+00:00,MIT
awesome-ml-for-cybersecurity,jivoi,Unknown,9291,1940,9291,33,2016-12-20 12:46:36+00:00,2026-08-17 14:51:58+00:00,NOASSERTION
awesome-project-ideas,NirantK,Unknown,9268,1291,9268,7,2017-08-19 09:37:58+00:00,2026-08-17 19:09:31+00:00,MIT
AIMLInterviews,alirezadir,Jupyter Notebook,9143,1594,9143,11,2021-01-31 03:52:09+00:00,2026-08-17 22:23:49+00:00,MIT
catboost,catboost,C++,9069,1318,9069,718,2017-07-18 05:29:04+00:00,2026-08-17 21:28:11+00:00,Apache-2.0
machine_learning_examples,lazyprogrammer,Python,8911,6404,8911,33,2014-07-31 23:40:45+00:00,2026-08-17 16:28:02+00:00,Unknown
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8895,1294,8895,14,2017-11-09 01:21:40+00:00,2026-08-17 07:06:53+00:00,Apache-2.0
pattern,clips,Python,8859,1557,8859,179,2011-05-03 15:29:01+00:00,2026-08-16 06:22:40+00:00,BSD-3-Clause
financial-machine-learning,firmai,Python,8747,1409,8747,15,2019-03-21 21:00:35+00:00,2026-08-17 20:33:47+00:00,Unknown
machinelearning,ljpzzz,Jupyter Notebook,8706,3687,8706,17,2016-05-12 07:06:34+00:00,2026-08-17 09:47:16+00:00,MIT
vowpal_wabbit,VowpalWabbit,C++,8703,1925,8703,8,2009-07-31 19:36:58+00:00,2026-08-17 14:17:13+00:00,NOASSERTION
MachineLearning_Python,lawlite19,Python,8580,2515,8580,10,2016-10-17 15:44:59+00:00,2026-08-17 16:16:41+00:00,MIT
Machine-Learning-Collection,aladdinpersson,Python,8485,2787,8485,119,2020-03-26 07:02:40+00:00,2026-08-17 01:02:10+00:00,MIT
approachingalmost,abhishekkrthakur,Unknown,8371,1122,8371,54,2020-07-04 07:13:20+00:00,2026-08-17 07:58:06+00:00,Unknown
introduction_to_ml_with_python,amueller,Jupyter Notebook,8147,4671,8147,28,2016-05-29 18:29:47+00:00,2026-08-17 19:23:01+00:00,Unknown
auto-sklearn,automl,Python,8126,1325,8126,208,2015-07-02 15:38:10+00:00,2026-08-17 01:46:07+00:00,BSD-3-Clause
machine-learning-cheat-sheet,soulmachine,TeX,8043,1332,8043,11,2013-05-09 07:43:59+00:00,2026-08-17 01:43:29+00:00,Unknown
cortex,cortexlabs,Go,8010,593,8010,131,2019-01-24 04:43:14+00:00,2026-08-14 06:57:58+00:00,Apache-2.0
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,MIT
machine-learning-yearning-cn,deeplearning-ai,CSS,7845,1501,7845,4,2018-06-19 19:26:39+00:00,2026-08-17 09:46:26+00:00,NOASSERTION
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7774,3725,7774,26,2022-06-16 15:31:02+00:00,2026-08-17 22:18:22+00:00,MIT
Machine-learning-learning-notes,Vay-keen,Unknown,7763,1878,7763,28,2018-03-24 06:48:10+00:00,2026-08-14 17:10:02+00:00,Unknown
awesome-youtubers,JoseDeFreitas,Markdown,7691,493,7691,2,2020-08-25 14:18:15+00:00,2026-08-17 11:47:02+00:00,CC0-1.0
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7607,2310,7607,19,2018-03-02 10:59:53+00:00,2026-08-16 03:59:02+00:00,Unknown
h2o-3,h2oai,Jupyter Notebook,7494,2028,7494,2882,2014-03-03 16:08:07+00:00,2026-08-17 09:00:52+00:00,Apache-2.0
industry-machine-learning,firmai,Jupyter Notebook,7485,1249,7485,3,2019-05-03 05:08:15+00:00,2026-08-17 08:53:36+00:00,Unknown
